Federated Investors, Inc.;Federated	Federated
AstraZeneca PLC;AstraZeneca	阿斯利康
BT Group plc;BT	英国电信
The Home Depot, Inc.;Home Depot	家得宝
Edison International	爱迪生国际公司
Telefonaktiebolaget LM Ericsson;Ericsson	爱立信
Avery Dennison Corporation;Avery Dennison	艾利丹尼森
Best Buy Co., Inc.;Best Buy	百思买
Fluor Corporation;Fluor	福陆
FirstEnergy Corp.;FirstEnergy	第一能源
Capital One Financial Corporation;Capital One Financial	美国第一资本金融
Arconic Inc.;Arconic	Arconic
Arconic Inc.;Arconic	Arconic
The Hartford Financial Services Group, Inc.;The Hartford	哈特福德金融服务
Amazon.com, Inc.;Amazon	亚马逊
Duke Energy Corporation;Duke Energy	杜克能源
International Business Machines Corporation;IBM	国际商业机器
Morgan Stanley Capital International	摩根士丹利资本国际公司
Morgan Stanley;MS	摩根士丹利
Liberty Global,Inc.;LGI	自由全球
MRV Communications, Inc.;MRV	MRV
NTT DOCOMO, INC.;NTT DOCOMO	NTT DOCOMO
IDT Corporation;IDT	IDT
IDT Corporation;IDT	IDT
Mesa Royalty Trust	Mesa Royalty Trust
Diageo plc;Diageo	帝亚吉欧
Kohl’s Corporation;Kohl’s	Kohl’s
AllianceBernstein Holding L.P.	联博控股有限合伙公司
Ingram Micro Inc.	英迈国际贸易(上海)有限公司
Commerce Bancshares, Inc.	Commerce Bancshares, Inc.
Cullen/Frost Bankers, Inc.;Frost	Frost
Hancock Whitney Corporation	Hancock Whitney Corporation
Cathay General Bancorp	Cathay General Bancorp
GATX Corporation;GATX	GATX
Astoria Financial Corporation	Astoria Financial Corporation
Independent Bank Corporation	Independent Bank Corporation
Dime Community Bancshares, Inc.;Dime	Dime
Community Bank System, Inc.	Community Bank System, Inc.
CVB Financial Corp.	CVB Financial Corp.
Intel Corporation;Intel	英特尔
Microsoft Corporation;Microsoft	微软
Cisco Systems, Inc.;Cisco	思科
China Yida Holding Co.;CHINA YIDA HOLDING	中国易达
The Boeing Company;Boeing	波音
American Tower Corporation;American Tower	美国电塔
Andeavor	Andeavor
Enterprise Products Partners L.P.	Enterprise Products Partners L.P.
LG Display Co., Ltd.	LG Display Co., Ltd.
China Techfaith Wireless Communication Technology Limited;Techfaith	泰克飞石
HDFC Bank Limited	HDFC Bank Limited
Facebook, Inc.;Facebook	Facebook
FBR & Co.	FBR & Co.
Alpha Natural Resources, Inc.;Alpha Natural Resources	阿尔法自然资源
Expedia Group, Inc.;Expedia Group	亿客行集团
Fossil Group, Inc.;Fossil Group	化石集团
Avago Technologies Limited;Avago	安华高科技
American Woodmark Corporation	American Woodmark Corporation
Amyris, Inc.;Amyris	Amyris
Balchem Corporation;Balchem	Balchem
Innospec Inc.;Innospec	英诺斯派
Innospec Inc.;Innospec	英诺斯派
Heritage-Crystal Clean, Inc.	Heritage-Crystal Clean, Inc.
Veru Inc.;Veru	Veru
Asia Pacific Wire & Cable Corporation Limited	亚太电线电缆有限责任公司
Apogee Enterprises, Inc.;Apogee	远地点企业
Bruker Corporation;Bruker	布鲁克
General Motors Company;GM	通用汽车
Sanofi	赛诺菲
Archer-Daniels-Midland Company;ADM	艾地盟
Comcast Corporation;Comcast	康卡斯特
Delta Air Lines, Inc.;Delta	达美航空
Caterpillar Inc.;Caterpillar	卡特彼勒
Accenture plc;Accenture	埃森哲
Delhaize Le Lion;Delhaize Group	比利时德尔海兹集团
Credit Suisse AG;CREDIT SUISSE	瑞信银行
Chevron Corporation;Chevron	雪佛龙
Korea Electric Power Corporation	韩国电力公司
ArcelorMittal;ArcelorMittal	安赛乐米塔尔
JPMorgan Chase & Co.;JP MORGAN CHASE	摩根大通
Barrick Gold Corporation;Barrick	巴里克
Coherent, Inc.;Coherent	Coherent
Fluidigm Corporation;Fluidigm	Fluidigm
Harvard Bioscience, Inc.	Harvard Bioscience, Inc.
EyePoint Pharmaceuticals, Inc.	EyePoint Pharmaceuticals, Inc.
Astec Industries, Inc.	Astec Industries, Inc.
Columbus McKinnon Corporation;Columbus McKinnon	Columbus McKinnon
Allied Motion Technologies Inc.	Allied Motion Technologies Inc.
Analogic Corporation	Analogic Corporation
Bel Fuse Inc.	Bel Fuse Inc.
Cohu, Inc.;Cohu	Cohu
Frequency Electronics, Inc.	Frequency Electronics, Inc.
Itron, Inc.;Itron	埃创
AV Homes, Inc.;AV Homes	AV Homes
Altra Industrial Motion Corp.;Altra Industrial Motion	Altra Industrial Motion
Art’s-Way Manufacturing Co., Inc.;Art’s-Way	Art’s-Way
Bonso Electronics International Inc.;Bonso	恒星
DXP Enterprises, Inc.	DXP Enterprises, Inc.
Dynasil Corporation of America	Dynasil Corporation of America
Electro-Sensors, Inc.;Electro-Sensors	Electro-Sensors
FARO Technologies, Inc.;FARO Technologies	法如科技
Hardinge Inc.	Hardinge Inc.
Image Sensing Systems, Inc.;Image Sensing Systems	图像传感系统
DMC Global Inc.	DMC Global Inc.
Handy & Harman Ltd.	Handy & Harman Ltd.
Broadwind Energy, Inc.	Broadwind Energy, Inc.
Highway Holdings Limited;Highway Holdings	骇维控股
Astronics Corporation	Astronics Corporation
Astrotech Corporation	Astrotech Corporation
Elbit Systems Ltd.;Elbit Systems	埃尔比特系统
American Outdoor Brands Corporation	American Outdoor Brands Corporation
Fuel Tech, Inc.;Fuel Tech	美国燃料技术公司
American Railcar Industries, Inc.;ARI	ARI
Haynes International, Inc.;Haynes	Haynes
Copart, Inc.;Copart	科帕特
Educational Development Corporation;EDC	EDC
Bassett Furniture Industries, Incorporated;Bassett	Bassett
Flexsteel Industries, Inc.;Flexsteel	Flexsteel
Helen of Troy Limited;Helen of Troy	Helen of Troy
The Dixie Group, Inc.;The Dixie Group	The Dixie Group
Hudson Technologies, Inc.;Hudson Technologies	Hudson Technologies
Akorn, Inc.;Akorn	Akorn
Alimera Sciences, Inc.;Alimera Sciences	Alimera Sciences
Alkermes public limited company;Alkermes	阿尔凯默斯
Alnylam Pharmaceuticals, Inc.;Alnylam Pharmaceuticals	Alnylam Pharmaceuticals
AMAG Pharmaceuticals, Inc.;AMAG Pharmaceuticals	AMAG Pharmaceuticals
AMAG Pharmaceuticals, Inc.;AMAG Pharmaceuticals	AMAG Pharmaceuticals
Amarin Corporation plc;Amarin Corporation	Amarin Corporation
Amicus Therapeutics, Inc.;Amicus Therapeutics	Amicus Therapeutics
Ampio Pharmaceuticals, Inc.;Ampio Pharmaceuticals	Ampio Pharmaceuticals
Anthera Pharmaceuticals, Inc.	Anthera Pharmaceuticals, Inc.
Arena Pharmaceuticals, Inc.;Arena Pharmaceuticals	Arena Pharmaceuticals
Computer Sciences Corp.	计算机科学
Marsh & McLennan Companies, Inc.;Marsh & McLennan Companies	Marsh & McLennan Companies
Changyou.com Limited;Changyou	畅游
India Globalization Capital, Inc.;IGC	IGC
Crown Holdings, Inc.;Crown Holdings	皇冠控股
International Game Technology	国际游戏科技
China Bat Group, Inc.;Bat Group	蝙蝠集团
China Unicom (Hong Kong) Limited;CHINA UNICOM	中国联通(香港)
Charm Communications Inc;CHARM	昌荣传播
Lihua International Inc;LIHUA INTERNATIONAL	利华国际
China Ceramics Co., Ltd.;China Ceramics	中国陶瓷
Kingold Jewelry, Inc.;Kingold Jewelry	金凰珠宝
China Auto Logistics Inc.;China Auto Logistics	中国汽车物流
Guanwei Recycling Corp.;GUANWEI	冠威
China Biologic Products Holdings, Inc.	中国生物制品有限公司
CBAK Energy Technology, Inc.;CBAK Energy	中比能源
Apple Inc.;Apple	苹果
Ku6 Media Co., Ltd.;KU6 MEDIA	酷6媒体
ChinaEdu Corporation;ChinaEdu	弘成教育
Deswell Industries, Inc.;Deswell	德斯维尔
Array BioPharma Inc.;Array BioPharma	Array BioPharma
Athersys, Inc.;Athersys	Athersys
AVEO Pharmaceuticals, Inc.;AVEO Pharmaceuticals	AVEO Pharmaceuticals
Albireo Pharma, Inc.;Albireo	Albireo
BioDelivery Sciences International, Inc.;BioDelivery Sciences	BioDelivery Sciences
BioLineRx Ltd.;BioLineRx	BioLineRx
BioMarin Pharmaceutical Inc.;BioMarin	BioMarin
BioSpecifics Technologies Corp.	BioSpecifics Technologies Corp.
Correvio Pharma Corp.;Correvio	Correvio
Catalyst Pharmaceuticals, Inc.;Catalyst Pharmaceuticals	Catalyst Pharmaceuticals
Celsion Corporation	Celsion Corporation
Celsion Corporation	Celsion Corporation
Clovis Oncology, Inc.;Clovis Oncology	Clovis Oncology
Corcept Therapeutics Incorporated	Corcept Therapeutics Incorporated
